지점번호,지점명,일시,평균습도(%rh),최저습도(%rh)
108,서울,2017-01-01,75.9,59
108,서울,2017-01-02,77.8,57
108,서울,2017-01-03,61.8,38
108,서울,2017-01-04,55,31
108,서울,2017-01-05,52.3,42
108,서울,2017-01-06,58.5,42
108,서울,2017-01-07,64.9,46
108,서울,2017-01-08,61.4,45
108,서울,2017-01-09,60.8,41
108,서울,2017-01-10,45.1,25
108,서울,2017-01-11,36.4,24
108,서울,2017-01-12,43.1,21
108,서울,2017-01-13,47.4,27
108,서울,2017-01-14,33.3,22
108,서울,2017-01-15,35.3,25
108,서울,2017-01-16,37.6,17
108,서울,2017-01-17,46.6,25
108,서울,2017-01-18,68.9,53
108,서울,2017-01-19,55.4,33
108,서울,2017-01-20,70.3,47
108,서울,2017-01-21,78.1,48
108,서울,2017-01-22,51.3,38
108,서울,2017-01-23,48.4,33
108,서울,2017-01-24,49.6,28
108,서울,2017-01-25,50.6,28
108,서울,2017-01-26,64.4,44
108,서울,2017-01-27,47.3,28
108,서울,2017-01-28,38,17
108,서울,2017-01-29,71.1,33
108,서울,2017-01-30,61.4,44
108,서울,2017-01-31,44.8,26
108,서울,2017-02-01,44.5,27
108,서울,2017-02-02,52.9,22
108,서울,2017-02-03,65.4,39
108,서울,2017-02-04,69.4,56
108,서울,2017-02-05,75.3,59
108,서울,2017-02-06,51,33
108,서울,2017-02-07,45.4,29
108,서울,2017-02-08,50.1,31
108,서울,2017-02-09,47,30
108,서울,2017-02-10,44.3,29
108,서울,2017-02-11,45.4,31
108,서울,2017-02-12,51.3,30
108,서울,2017-02-13,59.6,31
108,서울,2017-02-14,46,22
108,서울,2017-02-15,52.1,28
108,서울,2017-02-16,63.9,38
108,서울,2017-02-17,56.9,27
108,서울,2017-02-18,49.4,21
108,서울,2017-02-19,68,32
108,서울,2017-02-20,53.8,34
108,서울,2017-02-21,37.1,22
108,서울,2017-02-22,70.8,30
108,서울,2017-02-23,56.4,33
108,서울,2017-02-24,51.3,22
108,서울,2017-02-25,63.6,32
108,서울,2017-02-26,52.8,19
108,서울,2017-02-27,37.4,18
108,서울,2017-02-28,41.5,23
108,서울,2017-03-01,65,27
108,서울,2017-03-02,59.5,34
108,서울,2017-03-03,54.4,35
108,서울,2017-03-04,60,31
108,서울,2017-03-05,71.6,44
108,서울,2017-03-06,41.3,20
108,서울,2017-03-07,37.5,23
108,서울,2017-03-08,50.6,28
108,서울,2017-03-09,47.3,26
108,서울,2017-03-10,37.4,18
108,서울,2017-03-11,37.4,17
108,서울,2017-03-12,58.4,31
108,서울,2017-03-13,49.8,28
108,서울,2017-03-14,37.5,20
108,서울,2017-03-15,34.9,16
108,서울,2017-03-16,41.8,20
108,서울,2017-03-17,43.1,17
108,서울,2017-03-18,34.1,15
108,서울,2017-03-19,36,18
108,서울,2017-03-20,40.4,23
108,서울,2017-03-21,48.1,21
108,서울,2017-03-22,32.8,16
108,서울,2017-03-23,34,17
108,서울,2017-03-24,41.4,21
108,서울,2017-03-25,41.1,17
108,서울,2017-03-26,53.1,30
108,서울,2017-03-27,67.4,38
108,서울,2017-03-28,59.8,28
108,서울,2017-03-29,54.9,22
108,서울,2017-03-30,50,27
108,서울,2017-03-31,70.6,51
108,서울,2017-04-01,60.5,27
108,서울,2017-04-02,53.1,25
108,서울,2017-04-03,45.6,19
108,서울,2017-04-04,35.3,17
108,서울,2017-04-05,66,28
108,서울,2017-04-06,90,75
108,서울,2017-04-07,68.1,35
108,서울,2017-04-08,74.5,47
108,서울,2017-04-09,59.6,34
108,서울,2017-04-10,25.8,10
108,서울,2017-04-11,36.8,20
108,서울,2017-04-12,21.8,10
108,서울,2017-04-13,54,15
108,서울,2017-04-14,57.9,28
108,서울,2017-04-15,59.4,31
108,서울,2017-04-16,52.9,32
108,서울,2017-04-17,66.5,37
108,서울,2017-04-18,76.5,54
108,서울,2017-04-19,43.1,25
108,서울,2017-04-20,45.4,27
108,서울,2017-04-21,56.5,31
108,서울,2017-04-22,48.4,16
108,서울,2017-04-23,40,17
108,서울,2017-04-24,39.4,21
108,서울,2017-04-25,56.8,44
108,서울,2017-04-26,36,14
108,서울,2017-04-27,41.8,18
108,서울,2017-04-28,57.3,28
108,서울,2017-04-29,44.3,17
108,서울,2017-04-30,57.9,28
108,서울,2017-05-01,50.8,17
108,서울,2017-05-02,42,26
108,서울,2017-05-03,34.1,16
108,서울,2017-05-04,43.6,25
108,서울,2017-05-05,53.4,35
108,서울,2017-05-06,32,16
108,서울,2017-05-07,42.6,16
108,서울,2017-05-08,43.6,34
108,서울,2017-05-09,62.6,36
108,서울,2017-05-10,73,54
108,서울,2017-05-11,65.3,48
108,서울,2017-05-12,71.6,63
108,서울,2017-05-13,77.8,52
108,서울,2017-05-14,58.3,32
108,서울,2017-05-15,61.4,45
108,서울,2017-05-16,60.5,38
108,서울,2017-05-17,51.5,29
108,서울,2017-05-18,41.9,28
108,서울,2017-05-19,42.6,23
108,서울,2017-05-20,44,28
108,서울,2017-05-21,48.1,19
108,서울,2017-05-22,53.6,30
108,서울,2017-05-23,68,46
108,서울,2017-05-24,60.4,31
108,서울,2017-05-25,45.6,14
108,서울,2017-05-26,41.5,25
108,서울,2017-05-27,46.1,24
108,서울,2017-05-28,50.6,25
108,서울,2017-05-29,61.8,39
108,서울,2017-05-30,43.5,7
108,서울,2017-05-31,49.1,22
108,서울,2017-06-01,51.8,24
108,서울,2017-06-02,37.4,20
108,서울,2017-06-03,44,24
108,서울,2017-06-04,36.9,19
108,서울,2017-06-05,33.3,18
108,서울,2017-06-06,60,36
108,서울,2017-06-07,91.4,78
108,서울,2017-06-08,67.3,38
108,서울,2017-06-09,69.8,50
108,서울,2017-06-10,46.8,14
108,서울,2017-06-11,33.8,17
108,서울,2017-06-12,45.5,25
108,서울,2017-06-13,63,44
108,서울,2017-06-14,63,38
108,서울,2017-06-15,62.4,30
108,서울,2017-06-16,55.8,31
108,서울,2017-06-17,52.3,30
108,서울,2017-06-18,52,25
108,서울,2017-06-19,50.9,27
108,서울,2017-06-20,43.4,26
108,서울,2017-06-21,52.6,30
108,서울,2017-06-22,57.3,36
108,서울,2017-06-23,53,25
108,서울,2017-06-24,60.4,40
108,서울,2017-06-25,75.4,48
108,서울,2017-06-26,76.9,43
108,서울,2017-06-27,67.5,44
108,서울,2017-06-28,63.5,44
108,서울,2017-06-29,64.8,40
108,서울,2017-06-30,65.9,40
108,서울,2017-07-01,73.6,45
108,서울,2017-07-02,90.5,81
108,서울,2017-07-03,87.6,69
108,서울,2017-07-04,74.5,51
108,서울,2017-07-05,66.9,43
108,서울,2017-07-06,72.3,39
108,서울,2017-07-07,80.8,70
108,서울,2017-07-08,83.3,76
108,서울,2017-07-09,88,66
108,서울,2017-07-10,96.5,88
108,서울,2017-07-11,81.4,54
108,서울,2017-07-12,75.9,54
108,서울,2017-07-13,71,51
108,서울,2017-07-14,68.4,49
108,서울,2017-07-15,89,75
108,서울,2017-07-16,83.4,64
108,서울,2017-07-17,77.3,65
108,서울,2017-07-18,80.6,60
108,서울,2017-07-19,71.4,47
108,서울,2017-07-20,66.1,46
108,서울,2017-07-21,73.1,61
108,서울,2017-07-22,75.8,59
108,서울,2017-07-23,89.5,80
108,서울,2017-07-24,82.3,71
108,서울,2017-07-25,64.1,38
108,서울,2017-07-26,55.6,43
108,서울,2017-07-27,62.5,45
108,서울,2017-07-28,92.1,86
108,서울,2017-07-29,72.3,60
108,서울,2017-07-30,64.4,42
108,서울,2017-07-31,82.3,72
108,서울,2017-08-01,73,51
108,서울,2017-08-02,71.9,55
108,서울,2017-08-03,60.6,37
108,서울,2017-08-04,60.1,38
108,서울,2017-08-05,63,52
108,서울,2017-08-06,71.9,54
108,서울,2017-08-07,68.1,37
108,서울,2017-08-08,67.1,43
108,서울,2017-08-09,66.4,42
108,서울,2017-08-10,89.9,83
108,서울,2017-08-11,72.5,45
108,서울,2017-08-12,60.3,43
108,서울,2017-08-13,62.1,53
108,서울,2017-08-14,67.5,60
108,서울,2017-08-15,93.8,68
108,서울,2017-08-16,80.5,67
108,서울,2017-08-17,77.1,65
108,서울,2017-08-18,75.6,54
108,서울,2017-08-19,75.8,64
108,서울,2017-08-20,95.6,79
108,서울,2017-08-21,81.5,65
108,서울,2017-08-22,70.6,49
108,서울,2017-08-23,84.1,73
108,서울,2017-08-24,85.3,79
108,서울,2017-08-25,61.9,19
108,서울,2017-08-26,54.5,24
108,서울,2017-08-27,62,44
108,서울,2017-08-28,73.1,35
108,서울,2017-08-29,51.4,32
108,서울,2017-08-30,55.8,33
108,서울,2017-08-31,62.4,33
108,서울,2017-09-01,56,31
108,서울,2017-09-02,59,33
108,서울,2017-09-03,64,36
108,서울,2017-09-04,53.8,28
108,서울,2017-09-05,62.4,51
108,서울,2017-09-06,75.5,61
108,서울,2017-09-07,73.3,52
108,서울,2017-09-08,67.5,30
108,서울,2017-09-09,70.1,43
108,서울,2017-09-10,74.3,56
108,서울,2017-09-11,79.8,59
108,서울,2017-09-12,58.6,29
108,서울,2017-09-13,49.3,30
108,서울,2017-09-14,48.8,28
108,서울,2017-09-15,48.4,33
108,서울,2017-09-16,50.9,39
108,서울,2017-09-17,51.3,34
108,서울,2017-09-18,62.8,36
108,서울,2017-09-19,79.1,66
108,서울,2017-09-20,48.9,29
108,서울,2017-09-21,57.3,29
108,서울,2017-09-22,60.8,34
108,서울,2017-09-23,69.8,40
108,서울,2017-09-24,71.5,53
108,서울,2017-09-25,58,35
108,서울,2017-09-26,57,36
108,서울,2017-09-27,66.4,53
108,서울,2017-09-28,49.1,20
108,서울,2017-09-29,39.3,20
108,서울,2017-09-30,64.9,49
108,서울,2017-10-01,74.8,50
108,서울,2017-10-02,62.3,34
108,서울,2017-10-03,49.8,41
108,서울,2017-10-04,48.5,32
108,서울,2017-10-05,56.4,43
108,서울,2017-10-06,66.4,44
108,서울,2017-10-07,67.6,42
108,서울,2017-10-08,66.9,42
108,서울,2017-10-09,66,34
108,서울,2017-10-10,76.9,56
108,서울,2017-10-11,77.1,55
108,서울,2017-10-12,71,
108,서울,2017-10-13,51,31
108,서울,2017-10-14,42.8,21
108,서울,2017-10-15,42.5,22
108,서울,2017-10-16,47.6,25
108,서울,2017-10-17,47.1,26
108,서울,2017-10-18,58.8,43
108,서울,2017-10-19,58.3,32
108,서울,2017-10-20,58.6,30
108,서울,2017-10-21,52.8,25
108,서울,2017-10-22,50.4,33
108,서울,2017-10-23,47,30
108,서울,2017-10-24,54.3,30
108,서울,2017-10-25,59,26
108,서울,2017-10-26,56.5,31
108,서울,2017-10-27,54.4,32
108,서울,2017-10-28,51.9,29
108,서울,2017-10-29,45.6,25
108,서울,2017-10-30,27.4,16
108,서울,2017-10-31,54.3,32
108,서울,2017-11-01,72.4,51
108,서울,2017-11-02,78.8,62
108,서울,2017-11-03,66,41
108,서울,2017-11-04,47.9,30
108,서울,2017-11-05,52.5,35
108,서울,2017-11-06,64.5,41
108,서울,2017-11-07,61.4,42
108,서울,2017-11-08,53.3,19
108,서울,2017-11-09,39.6,18
108,서울,2017-11-10,56.3,38
108,서울,2017-11-11,42.9,29
108,서울,2017-11-12,57.1,34
108,서울,2017-11-13,64.4,44
108,서울,2017-11-14,42.5,25
108,서울,2017-11-15,38.3,26
108,서울,2017-11-16,30.3,15
108,서울,2017-11-17,39.4,25
108,서울,2017-11-18,38.5,18
108,서울,2017-11-19,37.8,20
108,서울,2017-11-20,55.3,29
108,서울,2017-11-21,55.6,29
108,서울,2017-11-22,54.8,33
108,서울,2017-11-23,49.3,34
108,서울,2017-11-24,62.5,30
108,서울,2017-11-25,77.6,51
108,서울,2017-11-26,71.6,37
108,서울,2017-11-27,53,32
108,서울,2017-11-28,64.1,39
108,서울,2017-11-29,48.3,25
108,서울,2017-11-30,26.8,13
108,서울,2017-12-01,49.4,21
108,서울,2017-12-02,59.9,34
108,서울,2017-12-03,83.1,57
108,서울,2017-12-04,48.1,22
108,서울,2017-12-05,40.1,24
108,서울,2017-12-06,72.6,28
108,서울,2017-12-07,64.5,32
108,서울,2017-12-08,41.3,24
108,서울,2017-12-09,46.1,29
108,서울,2017-12-10,67.9,39
108,서울,2017-12-11,40.5,29
108,서울,2017-12-12,41.9,27
108,서울,2017-12-13,42,24
108,서울,2017-12-14,42.9,28
108,서울,2017-12-15,52.6,34
108,서울,2017-12-16,43.1,21
108,서울,2017-12-17,38.1,23
108,서울,2017-12-18,80,47
108,서울,2017-12-19,49.4,22
108,서울,2017-12-20,68,41
108,서울,2017-12-21,71.4,36
108,서울,2017-12-22,66.6,53
108,서울,2017-12-23,75.8,62
108,서울,2017-12-24,82,62
108,서울,2017-12-25,43.1,26
108,서울,2017-12-26,41.8,14
108,서울,2017-12-27,31.4,16
108,서울,2017-12-28,47,21
108,서울,2017-12-29,67,51
108,서울,2017-12-30,79.5,59
108,서울,2017-12-31,54.4,22
108,서울,2018-01-01,39.1,19
108,서울,2018-01-02,42,19
108,서울,2018-01-03,42.3,28
108,서울,2018-01-04,43,31
108,서울,2018-01-05,48.4,32
108,서울,2018-01-06,45.8,26
108,서울,2018-01-07,42.1,30
108,서울,2018-01-08,51.9,30
108,서울,2018-01-09,59.4,43
108,서울,2018-01-10,52,29
108,서울,2018-01-11,49.8,37
108,서울,2018-01-12,35.4,20
108,서울,2018-01-13,67.3,39
108,서울,2018-01-14,64.1,48
108,서울,2018-01-15,63.9,33
108,서울,2018-01-16,59.1,35
108,서울,2018-01-17,64.1,49
108,서울,2018-01-18,59.6,33
108,서울,2018-01-19,43,20
108,서울,2018-01-20,57.6,42
108,서울,2018-01-21,36.6,16
108,서울,2018-01-22,56.5,25
108,서울,2018-01-23,42,24
108,서울,2018-01-24,31.6,23
108,서울,2018-01-25,32.6,22
108,서울,2018-01-26,34.9,26
108,서울,2018-01-27,37.4,23
108,서울,2018-01-28,36,19
108,서울,2018-01-29,35,21
108,서울,2018-01-30,62,26
108,서울,2018-01-31,54.5,29
108,서울,2018-02-01,44.1,22
108,서울,2018-02-02,51.1,24
108,서울,2018-02-03,47,29
108,서울,2018-02-04,40.9,26
108,서울,2018-02-05,37.8,23
108,서울,2018-02-06,36.5,23
108,서울,2018-02-07,39.8,17
108,서울,2018-02-08,43.3,23
108,서울,2018-02-09,43.9,23
108,서울,2018-02-10,47.4,13
108,서울,2018-02-11,42.5,20
108,서울,2018-02-12,40.8,23
108,서울,2018-02-13,54.5,37
108,서울,2018-02-14,51,27
108,서울,2018-02-15,28,14
108,서울,2018-02-16,40.1,15
108,서울,2018-02-17,25.6,14
108,서울,2018-02-18,26.9,15
108,서울,2018-02-19,48.6,33
108,서울,2018-02-20,41,17
108,서울,2018-02-21,31.5,13
108,서울,2018-02-22,59,41
108,서울,2018-02-23,81.1,52
108,서울,2018-02-24,49.4,17
108,서울,2018-02-25,40.6,16
108,서울,2018-02-26,43.1,23
108,서울,2018-02-27,48.8,36
108,서울,2018-02-28,73.3,47
108,서울,2018-03-01,61.9,33
108,서울,2018-03-02,34,18
108,서울,2018-03-03,38.1,13
108,서울,2018-03-04,89.1,79
108,서울,2018-03-05,67.5,37
108,서울,2018-03-06,46.8,24
108,서울,2018-03-07,54,34
108,서울,2018-03-08,76,50
108,서울,2018-03-09,63.3,37
108,서울,2018-03-10,65.8,30
108,서울,2018-03-11,51.3,19
108,서울,2018-03-12,45.8,30
108,서울,2018-03-13,60.5,39
108,서울,2018-03-14,58.8,37
108,서울,2018-03-15,92.1,67
108,서울,2018-03-16,46.9,29
108,서울,2018-03-17,48,22
108,서울,2018-03-18,55.9,28
108,서울,2018-03-19,64.5,41
108,서울,2018-03-20,39.9,32
108,서울,2018-03-21,64.1,33
108,서울,2018-03-22,61.5,27
108,서울,2018-03-23,55.3,19
108,서울,2018-03-24,61.9,38
108,서울,2018-03-25,65.6,33
108,서울,2018-03-26,64.5,30
108,서울,2018-03-27,61.1,36
108,서울,2018-03-28,66.4,42
108,서울,2018-03-29,66.3,36
108,서울,2018-03-30,55.6,24
108,서울,2018-03-31,52.9,27
108,서울,2018-04-01,68.8,50
108,서울,2018-04-02,64,41
108,서울,2018-04-03,72.9,50
108,서울,2018-04-04,67,40
108,서울,2018-04-05,90.6,61
108,서울,2018-04-06,71.6,40
108,서울,2018-04-07,45.5,17
108,서울,2018-04-08,59.6,25
108,서울,2018-04-09,57.9,21
108,서울,2018-04-10,51,26
108,서울,2018-04-11,49.4,20
108,서울,2018-04-12,30.5,12
108,서울,2018-04-13,22.9,13
108,서울,2018-04-14,78.8,24
108,서울,2018-04-15,65.5,46
108,서울,2018-04-16,41.9,20
108,서울,2018-04-17,37.9,21
108,서울,2018-04-18,35.4,14
108,서울,2018-04-19,38.8,15
108,서울,2018-04-20,46,26
108,서울,2018-04-21,32,8
108,서울,2018-04-22,57.4,29
108,서울,2018-04-23,93.9,85
108,서울,2018-04-24,63.3,36
108,서울,2018-04-25,37.8,18
108,서울,2018-04-26,51.9,22
108,서울,2018-04-27,52.9,27
108,서울,2018-04-28,49,24
108,서울,2018-04-29,43.1,22
108,서울,2018-04-30,61.6,42
108,서울,2018-05-01,72.8,58
108,서울,2018-05-02,90.4,75
108,서울,2018-05-03,62.4,45
108,서울,2018-05-04,45.5,25
108,서울,2018-05-05,46.8,27
108,서울,2018-05-06,86.4,60
108,서울,2018-05-07,60.3,26
108,서울,2018-05-08,50.9,36
108,서울,2018-05-09,50.4,31
108,서울,2018-05-10,67.4,44
108,서울,2018-05-11,59.8,36
108,서울,2018-05-12,89.3,50
108,서울,2018-05-13,82.5,61
108,서울,2018-05-14,71.4,45
108,서울,2018-05-15,56.4,31
108,서울,2018-05-16,93.8,62
108,서울,2018-05-17,97,80
108,서울,2018-05-18,86.8,66
108,서울,2018-05-19,47.5,31
108,서울,2018-05-20,32.1,22
108,서울,2018-05-21,43.9,24
108,서울,2018-05-22,75.5,48
108,서울,2018-05-23,57.1,27
108,서울,2018-05-24,47.4,24
108,서울,2018-05-25,47.4,22
108,서울,2018-05-26,50.1,27
108,서울,2018-05-27,47.4,30
108,서울,2018-05-28,49.8,34
108,서울,2018-05-29,69.3,50
108,서울,2018-05-30,69.8,35
108,서울,2018-05-31,58.9,35
108,서울,2018-06-01,50.4,30
108,서울,2018-06-02,44.5,20
108,서울,2018-06-03,39.4,19
108,서울,2018-06-04,50.1,27
108,서울,2018-06-05,52.5,31
108,서울,2018-06-06,62.9,44
108,서울,2018-06-07,69.3,37
108,서울,2018-06-08,68,47
108,서울,2018-06-09,60.6,35
108,서울,2018-06-10,59.9,47
108,서울,2018-06-11,67.3,45
108,서울,2018-06-12,65.5,40
108,서울,2018-06-13,64,46
